model,pozitsiya,narx,yil,km,yonilgi,kraska,rang,hudud,posted_date
#Nexia 3,2,"8,900$",2019,84.000,Benzin ,,Mokriy,,2024-10
#Tracker 2,LS,"17,100$",2024,5.400,Benzin ,,Oq,Toshkent,2024-10
#KIA K5,Luxe,"27,000$",2023,2.000,Benzin  ,,Qora,,2024-10
#Nexia 3,2,"7,800$",2019,55.000,Benzin ,,Oq,,2024-10
#Onix,LTZ,"14,500$",2024,5.000,Benzin ,,Oq,Toshkent,2024-10
#Matiz,Best,"4,150$",2009,359.000,Benzin + Gaz ,,Baqlajon,,2024-10
#Cobalt ,2,"10,800$",2015,9.000,Benzin ,,Oq,,2024-10
#Nexia 2,Dons,"6,500$",2010,187.000,Benzin ,,Oq,,2024-10
#Gentra ,3,"16,400$",2023,500,Benzin ,,Qora,Jizzax,2024-10
#Gentra ,3,"15,200$",2023,29.000,Benzin ,,Qora,,2024-10
#Gentra ,Elegant,"15,700$",2023,4.500,Benzin ,,Oq,Toshkent,2024-10
#Gentra ,Mexanika,"12,950$",2023,4.666,Benzin ,,Oq,,2024-10
#Matiz,MX,"2,650$",2009,310.000,Benzin + Metan ,,Oq,,2024-10
#Spark,2,"5,500$",2012,314.000,Benzin + Propan ,,Rasmda,,2024-10
#Gentra ,3,"12,300$",2021,123.000,Benzin + Propan ,,Oq,Farg'ona,2024-10
#Gentra ,Mexanika,"9,900$",2019,60.000,Benzin ,,Oq,,2024-10
#Matiz,1,"3,650$",2014,203.000,Benzin + Gaz ,,Qizil,,2024-10
#Nexia 3,4,"8,700$",2019,133.000,Benzin ,,Oq,,2024-10
#Gentra,3,"12,600$",2020,60.000,Benzin ,,Qora,,2024-10
#Vaz 2106,Mator,"2,300$",1991,,Benzin + Gaz ,,Qora,Toshkent ,2024-10
#Tracker 2,Premier,"17,700$",2023,23.000,Benzin + Propan ,,Qora,,2024-10
#Cobalt ,4,"11,000$",2020,45.000,Benzin ,,Oq,,2024-10
#Cobalt ,2,"10,500$",2019,111.300,Benzin + Metan ,,Oq,Toshkent,2024-10
#Gentra,Avtomat,"10,000$",2014,160.136,Benzin ,,Mokriy,Toshkent  ,2024-10
#Spark,4,"7,700$",2018,122.161,Benzin + Metan ,,Oq,,2024-10
#Lada vesta ,Full,"9,500$",2018,175.000,Benzin + propan ,,Oq,Toshkent ,2024-10
#Cobalt,4,"13,100$",2024,,Benzin ,,Oq,Farg'ona,2024-10
#Matiz,Prostoy,"4,000$",2013,67.000,Benzin + Propan ,,Bardoviy,,2024-10
#Lada  Vesta,Comfort,"7,000$",2018,160.000,Benzin + Metan ,,Serebrestiy,Toshkent,2024-10
#Cobalt,Style,"13,100$",2024,2.900,Benzin ,,Oq,,2024-10
#Gentra ,3,"14,000$",2023,68.000,Benzin ,,Zeus,Andijon,2024-10
#Nexia 3,4,,2020,100.000,Benzin + Metan 4 pok ,,Oq,Navoiy,2024-10
#Tracker 2,Premier,"18,600$",2023,0,Benzin ,,Qora,,2024-10
#Nexia 3,2,"7,300$",2016,235.000,Benzin + Metan 4 pok ,,Delfin,,2024-10
#Jetour X70,Vehicle,"20,700$",2023,24.000,Benzin ,,Oq,,2024-10
#Gentra ,3,"15,500$",2023,11.000,Benzin + Metan Gaz 4 pok ,,Darkmoon,Namangan,2024-10
#Cobalt ,2,"10,200$",2019,95.500,Benzin ,,Oq,,2024-10
#Malibu 2,2L,"24,500$",2019,67.936,Benzin ,,Qora,,2024-10
#Spark,2,"7,200$",2020,106.000,Benzin ,,Oq,,2024-10
#Nexia 3,2,"8,000$",2017,50.000,Benzin + Metan  ,,Oq,,2024-10
#Spark,1,"5,500$",2014,190.000,Benzin ,,Oq,,2024-10
#Monza,1.3L,"19,200$",2023,600,Benzin ,,Qora,,2024-10
#Cobalt,full,"10,800$",2018,115.000,Benzin + Gaz 4 pok ,,Choco,,2024-10
#Spark,4,"9,200$",2021,63.000,Benzin ,,Oq,,2024-10
#Gentra,3,"10,800$",2017,212.000,Benzin+ metan 4 pok ,,Oq,Toshkent,2024-10
#Tico,4,"1,800$",1996,600.000,Benzin ,,Oq,,2024-10
#Tracker 2,3,"18,000$",2021,29.713,Benzin ,,Qora,,2024-10
#Cobalt ,4,"12,000$",2022,47.000,Benzin  ,,Oq,,2024-10
#Cobalt,4,"13,050$",2024,0,Benzin ,,Oq,,2024-10
#Spark,2,"7,000$",2017,114.000,Benzin ,,Oq,,2024-10
#Matiz,3,"4,400$",2012,130.000,Benzin + Gaz ,,Oq,,2024-10
#Tracker 2,Premier,"19,300$",2024,12.000,Benzin ,,Qora,,2024-10
#Cobalt ,4,"11,800$",2022,35.000,Benzin ,,Oq,,2024-10
#Spark,2,"5,500$",2012,314.000,Benzin + Propan ,,Rasmda,,2024-10
#Cobalt ,4,"12,900$",2023,19.000,Benzin + Metan ,,Oq,,2024-10
#Onix,Premier,"14,000$",2023,20.000,Benzin ,,Oq,,2024-10
#Hundai Elantra,Luxe,"23,000$",2022,28.500,Benzin ,,Amazon,Toshkent,2024-10
#Cobalt ,4,"11,900$",2022,20.000,Benzin ,,Oq,Toshkent,2024-10
#Spark,3,"5,800$",2012,128.000,Benzin + Propan ,,Yashil,,2024-10
#Nexia 2,Dons,"6,700$",2015,181.000,Benzin + Gaz 3 pok ,,Oq,,2024-10
#Gentra ,1,"8,200$",2015,247.000,Benzin + Metan ,,Rasmda,,2024-10
#Gentra ,1,"9,900$",2019,144.000,Benzin + Metan zavod 4 pok ,,Oq,,2024-10
#Gentra ,1,"9,800$",2020,140.000,Benzin + Gaz zavod ,,Oq,,2024-10
#Lacetti,3,"7,450$",2010,263.000,Benzin + Metan Gaz ,,Mokriy,Farg'ona,2024-10
#Matiz,Ravon,"6,000$",2018,145.000,Benzin ,,Oq,,2024-10
#Gentra ,3,"14,000$",2018,128.000,Benzin + Metan ,,Qora,,2024-10
#Cobalt,4,"12,900$",2024,0,Benzin ,,Oq,,2024-10
#Gentra ,1,"9,500$",2017,152.000,Benzin + Metan Gaz 4 pok ,,Oq,Toshkent,2024-10
#Gentra,3,"15,000$",2022,65.000,Benzin ,,Qora,Toshkent ,2024-10
#Cobalt ,Style,"12,950$",2024,0,Benzin ,,Oq,,2024-10
#Malibu 2,2.4L,"22,000$",2019,70.000,Benzin ,,GK2,,2024-10
#Malibu 2,1.5,"21,500$",2020,61.909,Benzin ,,Qora,Toshkent viloyati ,2024-10
#Spark,2,"5,000$",2013,290.000,Benzin + Gaz ,,Oq,Toshkent,2024-10
#Gentra,Avtomat,"10,000$",2014,160.136,Benzin ,,Mokriy,Toshkent ,2024-10
#Audi,Q7,"40,000$",2008,124.000,Benzin ,,Qora,,2024-10
#Lada Largus ,2,"13,800$",2021,135.000,Benzin + Metan  ,,Rasmda,,2024-10
#Dong Feng Aelos ,Full,"25,500$",2023,23.000,Gibrid 5 L /100km ,,Qora,,2024-10
#Kia K5 Gt ,Full,"27,500$",2023,20.000,Benzin  ,,Oq,,2024-10
#Matiz ,Mix,"4,800$",2015,124.000,Benzin  ,,Oq,,2024-10
#Cobalt ,4,"13,300$",2024,104,Benzin  ,,Oq,,2024-10
#Damas ,2,"7,750$",2023,5.000,Benzin  ,,Oq,,2024-10
#Cobalt ,A/t,"12,600$",2023,43.000,Benzin + Gaz ,,Oq,,2024-10
#Matiz ,Luxe,"3,600$",2013,343.800,Benzin + gaz ,,Stalnoy,,2024-10
#Cobalt,4,"13,100$",2024,0,Benzin  ,,Oq,,2024-10
#Monza ,1.5,"16,800$",2023,35.000,Benzin  ,,Qora,,2024-10
#Damas ,2,"6,500$",2019,80.000,Benzin  ,,Oq,,2024-10
#Cobalt ,4,,2023,22.000,Benzin + gaz 4 pok ,,Oq,Surxondaryo,2024-10
#Tracker 2,Premier,"19,000$",2023,27.800,Benzin + Propan ,,Qora,Samarqand ,2024-10
#Spark,Mexanika,"8,200$",2020,115.000,Benzin + Gaz ,,Oq,,2024-10
#Nexia 2,1.6L,,2014,160.000,Benzin + Metan Gaz  ,60%,Oq,,2024-10
#Spark,2,"7,500$",2019,168.000,Benzin + Gaz ,,Mokriy,,2024-10
#Captiva 3,3,"14,000$",2013,182.000,Benzin + Propan  ,,Qora,,2024-10
#Spark,2,"5,500$",2011,293.000,Benzin ,,Oq,,2024-10
#Cobalt,4,,2021,18.000,Benzin ,,Oq,Toshkent ,2024-10
#Cobalt,2,"9,000$",2018,186.000,Benzin + Metan ,,Oq,,2024-10
#Spark ,2,"7,000$",2019,95.000,Benzin  ,,Oq,,2024-10
#Lada vesta ,Full,"9,500$",2018,175.000,Benzin + propan ,,Oq,Toshkent ,2024-10
#Cobalt,4,"13,100$",2024,0,Benzin ,,Oq,,2024-10
#Monza,1.3,"17,900$",2023,18.000,Benzin ,,Qora,,2024-10
#Gentra,1,"10,000$",2019,102.500,Benzin ,,Oq,,2024-10
#Gentra,1,"12,000$",2022,28.500,Benzin + Metan 4 pok ,,Oq,,2024-10
#Gentra ,1,"9,999$",2019,151.000,Benzin + Metan ,,Oq,,2024-10
#Gentra,3,"10,800$",2017,212.000,Benzin+ metan 4 pok ,,Oq,Toshkent,2024-10
#Spark,3,"7,500$",2015,250.000,Benzin + Metan ,,Oq,,2024-10
#Cobalt,4,"10,500$",2020,64.700,Benzin + Gaz ,,Oq,,2024-10
#Chery 8 Pro,Full,"25,500$",2023,24.000,Benzin ,,Oq,,2024-10
#Cobalt,4,"12,200$",2023,13.700,Benzin + Propan ,,Dark,Toshkent ,2024-10
#Monza ,1.5,"17,100$",2023,18.100,Benzin  ,,Oq,Surxondaryo,2024-10
#Nexia 3,4,"10,000$",2019,9.812,Benzin ,,Serebrestiy,,2024-10
#Cobalt ,4,"11,500$",2022,60.000,Benzin ,,Oq,,2024-10
#Cobalt ,4,"12,800$",2024,50,Benzin ,,Oq,,2024-10
#Damas ,2,"7,100$",2021,68.000,Benzin + gaz ,,Oq,,2024-10
#Gentra ,Bez,"13,800$",2023,12.300,Benzin  ,,Oq,,2024-10
#Cobalt,Avtomat,"9,800$",2015,120.000,Benzin + Gaz 4 pok  ,,Oq,,2024-10
#Cobalt,Style,"13,100$",2024,2.900,Benzin ,,Oq,,2024-10
#Matiz,1,"4,000$",2017,136.000,Benzin ,100%,Oq,,2024-10
#Cobalt,4,"13,500$",2024,0,Benzin ,,Oq,,2024-10
#Monza,1.5L,"16,950$",2023,5.000,Benzin ,,Qora,,2024-10
#Gentra,3,"14,700$",2023,27.000,Benzin + Propan ,,Oq,Farg'ona ,2024-10
#Nexia 2,Dons,"6,500$",2010,187.000,Benzin ,,Oq,,2024-10
#Cobalt,4,"13,000$",2024,,Benzin ,,Oq,Namangan,2024-10
#Equinox,Full,"27,000$",2021,47.000,Benzin ,,Qora,,2024-10
#Lacetti,2,"7,200$",2013,166.000,Benzin ,,Oq,,2024-10
#Cobalt,4,"13,500$",2024,80,Benzin ,,Oq,,2024-10
#Cobalt,4,"13,450$",2024,12.000,Benzin + Gaz ,,Oq,,2024-10
#BYD E2,Luxury,"14,100$",2022,79.000,Electro 405 km ,,Oq,,2024-10
#Cobalt ,2,"9,900$",2018,"89,000",Benzin ,,GK,,2024-10
#Cobalt,2,"9,500$",2019,83.000,Benzin  ,,Seriy,,2024-10
#Kia Seltos,1,"24,000$",2023,23.000,Benzin ,,Qora,,2024-10
#Captiva,3,"11,000$",2011,244.000,Benzin + Propan ,,Qora,,2024-10
#Damas ,1,"2,000$",1997,600.000,Benzin ,50%,Yashil,,2024-10
#Cobalt ,4,"9,600$",2018,171.000,Benzin ,,Oq,,2024-10
#Gentra ,1,"9,000$",2015,129.000,Benzin + Gaz ,,Qaymoq,,2024-10
#Spark,3,"5,500$",2011,185.000,Benzin ,,Delfin,,2024-10
#Spark,Avtomat,"8,000$",2017,77.000,Benzin ,,Seriy,,2024-10
#Cobalt ,4,"11,500$",2022,60.000,Benzin ,,Oq,,2024-10
#Nexia 2,Prostoy,"6,200$",2013,222.000,Benzin + Gaz ,,Serebrestiy,,2024-10
#Range Rover,Full,"12,000$",2007,287.300,Benzin ,,Qora,,2024-10
#Gentra ,3,"13,900$",2022,52.000,Benzin + Gaz 4 pok ,,Oq,Toshkent,2024-10
#Cobalt ,4,"13,100$",2024,0,Benzin ,,Oq,,2024-10
#Gentra ,3,"13,300$",2020,43.000,Benzin ,,,Toshkent,2024-10
#Cobalt ,4,"12,500$",2022,47.000,Benzin  ,,Oq,,2024-10
#Cobalt ,4,"12,000$",2023,16.000,Benzin ,,Zeus,,2024-10
#Cobalt ,2,"10,300$",2019,103.000,Benzin + Propan ,,Oq,,2024-10
#Matiz,MX,"4,850$",2014,124.000,Benzin ,,Mokriy,,2024-10
#Cobalt,Avtomat,"11,800$",2022,83.000,Benzin + Gaz ,,Oq,,2024-10
#Tico,4,"1,800$",1996,600.000,Benzin ,,Oq,,2024-10
#Matiz,Best,"4,000$",2011,133.000,Benzin + Metan ,,Oq,,2024-10
#Lacetti,4,"7,800$",2011,315.000,Benzin + Gaz ,,Oq,,2024-10
#Malibu 1,2,"13,000$",2014,126.000,Benzin ,,Oq,,2024-10
#Gentra ,1,"10,600$",2021,85.000,Benzin + Gaz ,,Oq,,2024-10
#Damas ,D2,"8,500$",2023,34.000,Benzin + Propan ,,Oq,,2024-10
#Jac T6,Pikap,"21,000$",2021,130.000,Benzin + Propan ,,Oq,,2024-10
#Cobalt ,4,"13,200$",2024,0,Benzin ,,Oq,,2024-10
#Damas ,2,"9,000$",2024,7.000,Benzin + Metan ,,Oq,Andijon,2024-10
#Gentra ,3,"15,400$",2023,11.400,Benzin ,,Oq,Toshkent viloyati,2024-10
#Gentra ,4,"15,500$",2022,26.000,Benzin + Gaz ,,Qora,,2024-10
#Gentra,3,,2022,65.000,Benzin ,,Qora,Toshkent ,2024-10
#Gentra ,4,"10,000$",2014,54.000,Benzin ,,Delfin,,2024-10
#Cobalt ,2,"7,000$",2015,313.000,Benzin + Metan ,,Oq,,2024-10
#Tico,Luxe,"5,000$",2002,184.000,Benzin ,,Stalnoy,,2024-10
#Gentra,1,"9,100$",2015,155.000,Benzin ,,Qora,,2024-10
#Cobalt,4,"11,900$",2022,47.000,Benzin ,,Rasmda,,2024-10
#Matiz,Avtomat,"3,200$",2010,290.000,Benzin ,,Rasmda,,2024-10
#Cobalt,4,,2016,260.000,Benzin + Gaz ,15%,Oq,,2024-10
#Nexia 2,Dons,"6,500$",2010,187.000,Benzin ,,Oq,,2024-10
#Nexia 2,1.6L,"5,000$",2014,270.000,Benzin + Metan ,,Oq,Qashqadaryo ,2024-10
#Captiva,1,"10,000$",2008,143.000,Benzin + Metan 4 pok ,,Oq,Toshkent,2024-10
#Gentra ,3,,2017,92.000,Benzin + Gaz ,,Oq,Toshkent,2024-10
#Kia Carnival ,Full,"9,500$",2006,140.000,Dizel ,,Oq,,2024-10
#Nexia 3,2,"8,800$",2020,65.000,Benzin ,,Oq,,2024-10
#Cobalt ,4,"9,700$",2018,280.169,Benzin + Metan Gaz ,,Oq,,2024-10
#Cobalt ,4,"12,650$",2024,6.000,Benzin ,,Oq,,2024-10
#Gentra,1,"10,500$",2020,112.000,Benzin + Metan ,,Oq,,2024-10
#Cobalt ,4,"13,100$",2024,35,Benzin ,,Oq,Toshkent,2024-10
#Nexia 3,2,"8,800$",2018,86.400,Benzin ,,Oq,,2024-10
#Nexia 3,2,"9,200$",2020,66.000,Benzin + Gaz ,,Oq,,2024-10
#Spark,Avtomat,"10,500$",2023,49.000,Benzin + Metan ,,Oq,Buxoro,2024-10
#Damas ,2,"8,100$",2024,3.000,Benzin + Metan Gaz ,,Oq,,2024-10
#Spark,2,"7,200$",2019,130.000,Benzin ,,Mokriy,Toshkent,2024-10
#Gentra,Full,"15,400$",2023,13.000,Benzin ,,Qora,Toshkent,2024-10
#Volkswagen ID4,Croz,"19,900$",2021,65.000,Electro 450 km ,,Rasmda,,2024-10
#Gentra,1,"9,200$",2019,204.000,Benzin ,,Oq,,2024-10
#Lacetti,2,"6,900$",2010,,Benzin + Metan  ,40%,Oq,,2024-10
#Cobalt,2,"11,000$",2019,236.000,Benzin + Metan  ,,Oq,,2024-10
#Cobalt ,4,"12,500$",2022,47.000,Benzin  ,,Oq,,2024-10
#Byd Champion ,Full,"28,000$",2023,7.800,Electro ,,Qora,,2024-10
#Spark,2,"8,000$",2021,58.000,Benzin + Metan ,,Oq,,2024-10
#Lacetti ,1.6,"11,000$",2014,193.500,Benzin + Gaz 4 pok  ,,Qora,,2024-10
#Nexia 1,Sons,"5,700$",2007,,Benzin + Metan Gaz  ,15%,Oq,,2024-10
#Gentra ,3,"15,700$",2023,6.600,Benzin ,,Oq,,2024-10
#Nexia 3,2,"7,900$",2016,80.000,Benzin + Gaz ,,Rasmda,,2024-10
#Gentra,Elegant,"14,700$",2020,60.200,Benzin ,,Oq,,2024-10
#Gentra ,Elegant,"15,800$",2023,4.400,Benzin ,,Oq,,2024-10
#Gentra,3,"10,800$",2017,212.000,Benzin+ metan 4 pok ,,Oq,Toshkent,2024-10
#Gentra ,3,"14,800$",2023,25.000,Benzin + Propan ,,Oq,Farg'ona,2024-10
#Gentra ,1,"9,100$",2015,129.000,Benzin ,,Svetlo,,2024-10
#Nexia 3,2,"7,950$",2019,71.000,Benzin ,,Oq,,2024-10
#Matiz,MX,"2,750$",2009,310.000,Benzin + Metan ,,Oq,,2024-10
#Cobalt,4,"12,900$",2024,0,Benzin ,,Oq,,2024-10
#Orlando,4,"17,000$",2016,121.000,Benzin + Propan ,,Oq,,2024-10
#Cobalt,2,"11,000$",2020,100.000,Benzin + Metan ,15%,Qora,,2024-10
#Gentra ,3,"12,500$",2020,60.000,Benzin ,,Qora,,2024-10
#Spark,4,"7,700$",2019,138.000,Benzin + Metan 4 pok ,10%,Oq,,2024-10
#Gentra,3,,2022,65.000,Benzin ,,Qora,Toshkent ,2024-10
#Damas,Deluxe,"6,700$",2021,140.000,Benzin + Gaz ,,Oq,,2024-10
#Gentra,3,"15,300$",2023,39.500,Benzin ,,Qora,Toshkent ,2024-10
#Li 6 Max,Full,"43,500$",2024,0,Electro ,,Narda,,2024-10
#Nexia 1,Sons,"5,700$",2007,,Benzin + Metan Gaz  ,15%,Oq,,2024-10
#Gentra,Avtomat,"13,400$",2022,44.000,Benzin ,10%,Qora,,2024-10
#Gentra,4,"13,800$",2022,90.000,Benzin + Propan  ,,Qora,,2024-10
#Orlando,Full,"15,000$",2017,130.000,Benzin ,,Oq,,2024-10
#Malibu 2,Premier,"24,000$",2020,80.000,Benzin ,,Qora,,2024-10
#Matiz,1,"2,800$",2005,233.000,Benzin + Propan ,,Stalnoy,Toshkent,2024-10
#Cobalt ,4,"11,900$",2022,36.000,Benzin ,,Mokriy,,2024-10
#Tracker 2,Premier,"19,900$",2023,6.500,Benzin + Propan ,,Qora,Toshkent,2024-10
#Cobalt ,4,"11,200$",2022,67.000,Benzin + Gaz ,,Oq,,2024-10
#Cobalt ,2,"8,900$",2016,263.000,Benzin + Gaz ,,Oq,,2024-10
#Spark,1,"5,500$",2014,190.000,Benzin ,,Oq,,2024-10
#Cobalt ,4,"13,200$",2024,200,Benzin ,,Oq,,2024-10
#Spark,2,"4,100$",2013,165.000,Benzin + Gaz ,,Oq,,2024-10
#Gentra ,3,"13,800$",2023,400,Benzin ,,Darkmoon,,2024-10
#Gentra ,3,"13,900$",2022,35.000,Benzin + Metan ,,Oq,,2024-10
#Nexia 3,2,"8,600$",2019,72.000,Benzin ,,Oq,,2024-10
#Spark,2,"5,500$",2013,290.000,Benzin + Gaz ,,Oq,Toshkent,2024-10
#Nexia 3,2,"7,900$",2018,156.000,Benzin + Metan 4 pok ,,GK2,,2024-10
#Malibu 2,1.5,"22,000$",2020,61.909,Benzin ,,Qora,Toshkent viloyati,2024-10
#Gentra,2,"7,200$",2015,353.000,Benzin + Gaz ,,Mokriy,,2024-10
#Gentra ,3,"14,700$",2022,65.000,Benzin + Metan 4 pok ,,Qora,,2024-10
#Cobalt ,4,"13,000$",2024,,Benzin ,,Oq,Farg'ona,2024-10
#Nexia 3,Avtomat,"8,150$",2019,211.000,Benzin + Metan ,,Oq,,2024-10
#Damas,2,"8,100$",2024,0,Benzin  ,,Mokriy,,2024-10
#Lada priora ,xxx,"4,000$",2007,322.000,Benzin+ Gaz  ,,Metallica,,2024-10
#Malibu 2,2,"24,000$",2020,130.000,Benzin ,,Qora,,2024-10
#Gentra,1,"12,800$",2023,19.000,Benzin + Gaz ,,Oq,,2024-10
#Matiz,1,"4,000$",2011,75.000,Benzin ,,Oq,,2024-10
#Nexia 2,1.6L,"5,300$",2011,259.000,Benzin + gaz ,,Oq,,2024-10
#Nexia 2,Dons,"5,000$",2011,400.000,Benzin + Gaz ,30%,Oq,,2024-10
#Gentra ,3,"11,000$",2018,112.000,Benzin ,,Mokriy,,2024-09
#Gentra ,1,"9,900$",2019,204.000,Benzin ,,Oq,,2024-09
#Gentra ,1,"12,200$",2022,46.000,Benzin + Gaz ,,Qora,,2024-09
#Lada  Vesta,Comfort,"7,000$",2018,160.000,Benzin + Metan ,,Serebrestiy,Toshkent,2024-09
#Gentra ,3,"14,600$",2023,28.200,Benzin + Propan 4 pok ,,Oq,,2024-09
#Mercedes Benz,EQC,"44,900$",2021,36.000,Electro ,,Qora,,2024-09
#Cobalt ,4,"12,600$",2023,10.500,Benzin + Metan 4 pok ,,Oq,,2024-09
#Tracker 2,LTZ,"16,300$",2023,39.000,Benzin ,,Qora,,2024-09
#Spark,2,"6,200$",2015,196.000,Benzin + Gaz ,,Rasmda,,2024-09
#Monza,Full,"19,300$",2024,1.010,Benzin ,,Qora,,2024-09
#Gentra ,3,"13,000$",2021,71.000,Benzin + Metan 4 pok ,,Oq,,2024-09
#Spark,2,"6,500$",2018,234.000,Benzin ,,Oq,Jizzax,2024-09
#Spark,3,"7,100$",2019,185.827,Benzin + Metan Gaz 4 pok ,,Oq,,2024-09
#Cobalt ,Style,"12,900$",2024,0,Benzin ,,Oq,,2024-09
#Gentra ,Avtomat,"11,500$",2020,121.000,Benzin + Gaz ,,Oq,,2024-09
#Spark,2,"8,000$",2019,89.216,Benzin + Metan ,,Oq,,2024-09
#Nexia 3,2,"7,950$",2018,90.000,Benzin + Gaz ,,GK,,2024-09
#Cruze 1.4L Turbo,Full,"12,000$",2012,165.000,Benzin ,,Kumush,,2024-09
#Gentra ,1,"9,999$",2019,151.000,Benzin + Metan ,,Oq,,2024-09
#Hyundai Sonata,5,"23,000$",2021,89.000,Benzin + Metan 4 pok ,,Rasmda,,2024-09
#Nexia 1,Sons,"10,500$",2006,25.000,Benzin + Propan ,,Oq,Buxoro,2024-09
#Cobalt ,2,"9,900$",2019,87.600,Benzin + Propan 4 pok ,,Mokriy,,2024-09
#Cobalt,Avtomat,"13,000$",2024,130,Benzin ,,Oq,,2024-09
#Spark,2,"8,000$",2019,52.300,Benzin ,,Oq,,2024-09
#Cobalt,4,"10,800$",2021,58.000,Benzin  ,,Mokriy,,2024-09
#Honda,4,"8,000$",2008,154.000,Benzin + gaz 4 pok ,,Molochniy,,2024-09
#Gentra,3,"14,900$",2022,32.000,Benzin + gaz 4 pok ,,Oq,,2024-09
#Malibu 2,Premier,"20,500$",2018,180.000,Benzin  ,,Qora,,2024-09
#Damas ,2,"6,800$",2021,121.000,Benzin + gaz ,,Oq,,2024-09
#Gentra ,3,"11,000$",2017,133.000,Benzin + Metan ,,Oq,,2024-09
#Nexia 1,Dons,"4,500$",2007,187.000,Benzin + Propan ,,Oq,,2024-09
#Bestune T33,Turbo,"14,500$",2022,50.030,Benzin ,,Qora,,2024-09
#Cobalt,4,"12,000$",2023,3.500,Benzin ,,Darkmon,Namangan,2024-09
#Cobalt, 🔄Kraska:,"11,900$",2022,94.500,Benzin + Propan  ,,,Farg'ona ,2024-09
#Hyundai Sonata,5,"23,000$",2021,89.000,Benzin + Metan 4 pok ,,Rasmda,,2024-09
#Nexia 2,1,"4,800$",2015,370.000,Benzin + gaz ,,Oq,,2024-09
#Labo,1,"6,700$",2019,110.000,Benzin + Gaz  ,,Oq,Jizzax ,2024-09
#Nexia 2,Sons,"6,000$",2015,142.300,Benzin + Gaz ,,Oq,,2024-09
#Cobalt,Euro,"8,800$",2014,352.000,Benzin + Gaz  ,,Oq,Farg'ona,2024-09
#Cobalt ,4,"12,500$",2022,47.000,Benzin  ,,Oq,,2024-09
#Nexia 2,1.5L,"6,100$",2015,57.000,Benzin ,,Metalika,,2024-09
#Cobalt,2,"9,500$",2017,148.000,Benzin + Metan ,,Oq,,2024-09
#Gentra,2,"11,400$",2021,35.600,Benzin ,,Oq,,2024-09
#Nexia 2,Sons,"6,500$",2011,54.000,Benzin + Gaz ,,Oq,,2024-09
#Labo,Kareyskiy,"10,000$",2018,357.000,Propan metan ,,Oq,,2024-09
#Gentra ,3,"12,700$",2019,38.300,Benzin  ,,Moltiy,,2024-09
#Matiz ,Avtomat,"3,700$",2006,188.000,Benzin ,,Kulrang,,2024-09
#Cobalt,4,"11,000$",2020,58.200,Benzin  ,,Oq,,2024-09
#Damas ,1,"2,200$",1995,480.000,Benzin + Gaz  ,,Oq,,2024-09
#Nexia 3,2,"9,000$",2018,76.500,Benzin + Propan 4 pok ,,Mokriy,,2024-09
#Gentra,3,"15,700$",2023,18.500,Benzin ,,Qora,,2024-09
#Gentra,Mexanika,"10,500$",2018,68.000,Benzin ,,Oq,,2024-09
#Cobalt,Avtomat,"11,800$",2022,83.000,Benzin + Gaz ,,Oq,,2024-09
#Epica,2,"7,000$",2011,320.000,Benzin + Metan 4 pok ,,Oq,,2024-09
#Nexia 2,4,"6,700$",2016,154.000,Benzin + Metan ,,Oq,,2024-09
#Cobalt,4,"13,200$",2024,0,Benzin ,,Oq,,2024-09
#Gentra,3,"16,600$",2023,48,Benzin ,,Qora,Toshkent,2024-09
#Nexia 3,2,"7,800$",2019,71.500,Benzin ,,Oq,,2024-09
#Gentra,2,"14,000$",2024,4.416,Benzin + Gaz zavod ,,Oq,,2024-09
#Tracker 2,LTZ,"16,500$",2023,38.000,Benzin ,,Qora,,2024-09
#Nexia 3,Avtomat,"9,200$",2018,68.000,Benzin ,,Mokriy,,2024-09
#Nexia 2,Sons,"4,000$",2008,385.000,Benzin + Gaz ,15%,Rasmda,,2024-09
#Tracker 2,Premier,"18,500$",2023,22.500,Benzin ,,Oq,,2024-09
#Matiz,Best,"4,500$",2015,183.500,Benzin + Gaz ,,Qaymoq,,2024-09
#Nexia 3,Avtomat,"8,150$",2019,211.000,Benzin + Metan ,,Oq,,2024-09
#Gentra,3,"10,800$",2017,212.000,Benzin+ metan 4 pok ,,Oq,Toshkent,2024-09
#Cobalt,4,,2016,259.000,Benzin + Gaz ,15%,Oq,,2024-09
#Matiz,Best,"5,200$",2012,75.000,Benzin ,,Oq,,2024-09
#Cobalt,4,"12,800$",2024,0,Benzin ,,Oq,,2024-09
#Tracker 2,Premier,"20,000$",2024,10.000,Benzin + Propan 4 pok ,,Qora,,2024-09
#Audi A5 Spotr,Quvatiro,"25,000$",2010,141.000,Benzin ,,Oq,,2024-09
#Nexia 3,4,"10,800$",2022,60.000,Benzin + Metan ,,Oq,,2024-09
#Captiva 2,Avtomat,"12,000$",2012,171.000,Benzin + Propan ,,Rasmda,,2024-09
#Gentra ,Euro,"9,600$",2014,197.600,Benzin + Metan ,,Oq,,2024-09
#Nexia 3  ,Euro,,2018,141.000,,15%,Oq,Toshkent,2024-09
#Hyundai Sonata,5,"23,500$",2021,89.000,Benzin + Metan 4 pok ,,Rasmda,,2024-09
#Captiva 2,2,"11,500$",2011,173.000,Benzin ,,Oq,,2024-09
#Gentra,3,"13,600$",2021,43.000,Benzin + Propan 4 pok ,,Qora,,2024-09
